t,E,current1_mA,coll_current,potential2,current1,current1_muA,cur1muA_filt,coll_cur_filt,coll_cur_norm,coll_cur_norm_filt,cur_H2O2,cur_H2O2_min,cur_H2O2_max,yield,yield_min,yield_max,j,current1_mA_geo
413.82599999999854,-0.0837127343750972,-0.0472390156250201,0.1363225468750193,,-4.723901562502021e-05,-47.2390156250202,-47.2390156250202,0.135475,0.135475,0.135475,-1.9353571428571428,-2.508796296296296,-1.5752906976744183,7.871405506249365,10.086056851160922,6.454217283190353,-122.74812805742442,-0.1227481280574244
413.87599999999856,-0.0803494531250975,-0.0465397968750201,0.1356498906250195,,-4.6539796875020285e-05,-46.53979687502028,-46.53979687502028,0.135475,0.135475,0.135475,-1.9353571428571428,-2.508796296296296,-1.5752906976744183,7.984944791071284,10.229839977401962,6.548011350054763,-120.93124445962812,-0.1209312444596281
413.92599999999857,-0.0790772500000153,-0.0458602343750191,0.1309962656251722,,-4.586023437501914e-05,-45.86023437501914,-45.86023437501914,0.135475,0.135475,0.135475,-1.9353571428571428,-2.508796296296296,-1.5752906976744183,8.098475534645448,10.373564495614762,6.641818321860385,-119.1654366063209,-0.1191654366063209
413.9759999999986,-0.0783539531250264,-0.0452062656250177,0.1295841718748867,,-4.520626562501775e-05,-45.20626562501775,-45.20626562501775,0.1351655781250189,0.1351655781250189,0.1351655781250189,-1.9309368303574128,-2.5030662615744235,-1.5716927688955684,8.192835933296774,10.492983919893726,6.719800619173986,-117.466132782805,-0.1174661327828049
414.0259999999986,-0.0774851093750151,-0.0445935000000148,0.1332560937499431,,-4.4593500000014805e-05,-44.5935000000148,-44.5935000000148,0.134614,0.134614,0.134614,-1.9230571428571428,-2.492851851851852,-1.565279069767442,8.268269454898066,10.588426386033673,6.782151093732672,-115.87389313911495,-0.1158738931391149
414.07599999999854,-0.0769468281250157,-0.0440685000000154,0.1352732812499406,,-4.406850000001546e-05,-44.068500000015455,-44.068500000015455,0.134614,0.134614,0.134614,-1.9230571428571428,-2.492851851851852,-1.565279069767442,8.362652896848754,10.707815614042907,6.860177270761761,-114.5097079126147,-0.1145097079126147
414.12599999999856,-0.0760587692307962,-0.043348615384637,0.1348789230769424,,-4.3348615384637046e-05,-43.34861538463704,-43.34861538463704,0.1352100769230576,0.1352100769230576,0.1352100769230576,-1.931572527472251,-2.503890313389955,-1.5722101967797393,8.53164536870524,10.92149829228502,6.999916748770282,-112.63912513721418,-0.1126391251372141
414.17599999999857,-0.0751318461538729,-0.0427183076923237,0.1350113846153654,,-4.27183076923238e-05,-42.7183076923238,-42.7183076923238,0.135475,0.135475,0.135475,-1.9353571428571428,-2.508796296296296,-1.5752906976744183,8.668301470890013,11.094215968051158,7.112949748648688,-111.00130334292032,-0.1110013033429203
414.2259999999986,-0.0741650000000303,-0.042158230769247,0.1366669230768091,,-4.21582307692471e-05,-42.15823076924711,-42.15823076924711,0.1366669230768091,0.1366669230768091,0.1366669230768091,-1.9523846153829871,-2.530868945866835,-1.5891502683349896,8.852221164265488,11.32656044539152,7.265121845670245,-109.54597255403291,-0.1095459725540329
414.2759999999986,-0.07310500000003,-0.0415890000000161,0.140639999999887,,-4.158900000001618e-05,-41.58900000001618,-41.58900000001618,0.140639999999887,0.140639999999887,0.140639999999887,-2.009142857141244,-2.604444444442353,-1.6353488372079892,9.216644221401312,11.786564623699196,7.566794555385649,-108.06685597145162,-0.1080668559714516
