t,E,current1_mA,coll_current,potential2,current1,current1_muA,cur1muA_filt,coll_cur_filt,coll_cur_norm,coll_cur_norm_filt,cur_H2O2,cur_H2O2_min,cur_H2O2_max,yield,yield_min,yield_max,j,current1_mA_geo
112.274,0.4110410000000001,0.0008179523809523,0.0246333809523811,,8.179523809523763e-07,0.8179523809523762,0.495,0.024428,0.0323429032258062,0.0323429032258062,-0.4620414746543747,-0.7455187388742087,-0.3347540480780934,72.19432696969547,95.3671263153104,58.08140557689989,2.1254067696711143,0.0021254067696711
112.324,0.4116533492063494,0.0006770634920634,0.0245787460317455,,6.770634920634044e-07,0.6770634920634044,0.6229365079365956,0.0247833333333335,0.0305934193548387,0.0305934193548387,-0.437048847926268,-0.7051923340348384,-0.3166466195716008,78.45687229894955,102.0349953634006,63.73017962967186,1.759314311003283,0.0017593143110032
112.374,0.4118414032258063,0.0004734032258064,0.0260948225806468,,4.734032258064372e-07,0.4734032258064371,0.7399999999999565,0.0254695322580646,0.027872,0.027872,-0.3981714285714286,-0.6424623709513627,-0.2884795085614964,91.36828992707348,115.15049353937738,75.7280603821065,1.230113689187644,0.0012301136891876
112.424,0.4110444354838713,0.0003992096774194,0.0356051129032255,,3.992096774194904e-07,0.3992096774194904,0.4938870967741726,0.02628883870968,0.0272472258064517,0.0272472258064517,-0.3892460829493101,-0.6280610395185174,-0.2820129990782618,98.73631534310564,122.27760981848736,82.7961278471012,1.0373256080233944,0.0010373256080233
112.474,0.4120162096774195,0.0007596935483871,0.034910758064516,,7.596935483871432e-07,0.7596935483871431,0.4382419354838638,0.0332307741935492,0.023776258064517,0.023776258064517,-0.3396608294931011,-0.548053642669385,-0.2460879463936281,61.79278244164165,83.81645113328257,48.9346737180261,1.974024219768748,0.0019740242197687
112.524,0.4142549047619053,0.0005622857142856,0.0294292380952368,,5.622857142856519e-07,0.5622857142856519,0.4049523809523761,0.034758,0.023568,0.023568,-0.3366857142857142,-0.5432531988584139,-0.2439324432325397,74.90465293669475,98.27844002585934,60.51276343947527,1.461070218098264,0.0014610702180982
112.574,0.4152166507936506,0.0004060317460317,0.0311238412698446,,4.060317460317557e-07,0.4060317460317557,0.4060317460317557,0.034758,0.023568,0.023568,-0.3366857142857142,-0.5432531988584139,-0.2439324432325397,90.6632016276553,114.4552437669318,75.0602717077846,1.0550523989091751,0.0010550523989091
112.624,0.4149896666666668,0.0004189841269841,0.0374913333333329,,4.189841269841229e-07,0.4189841269841229,0.426,0.034758,0.024168984126984,0.024168984126984,-0.3452712018140572,-0.557106158356343,-0.2501527218492736,90.35493474595955,114.15053847442428,74.76877780244838,1.0887084879439273,0.0010887084879439
112.674,0.4156730000000003,0.0003920000000001,0.0347580000000001,,3.9200000000012633e-07,0.3920000000001263,0.4260000000001027,0.0347580000000001,0.0264137096774191,0.0264137096774191,-0.3773387096774169,-0.6088481108271986,-0.27338597829463,98.0942996708362,121.66643554413272,82.17365174879716,1.0185916357884586,0.0010185916357884
112.724,0.4166447741935485,0.0008363548387096,0.0354523548387097,,8.363548387096937e-07,0.8363548387096937,0.7872903225806585,0.0354523548387097,0.0326620967741918,0.0326620967741918,-0.4666013824884548,-0.7528762964189918,-0.3380577506460569,71.62195857346397,94.7472371736574,57.57052567556445,2.173224600154655,0.0021732246001546
112.774,0.4175010793650794,0.0009429999999999,0.034061603174603,,9.43e-07,0.943,0.8740000000000001,0.0350996666666666,0.033037,0.033037,-0.4719571428571429,-0.7615179875545409,-0.3419380569871612,66.70974385897604,89.35288370257507,53.22249662196406,2.4503365116025684,0.0024503365116025
