t,ion_current_M2,ion_current_M32,E,current1_mA,coll_current,current1,current1_muA,ion_current_M2_sBG_sub,ion_current_M2_sBG_ALS,ion_current_M2_sBG_ALS_sub,ion_current_M2_ALS,ion_current_M2_UVS,ion_current_M2_UVS_sub,ion_current_M2_UVS_ALS,ion_current_M2_UVS_ALS_sub,ion_current_M2_MF,ion_current_M2_MF_sub,j,current1_mA_geo
5223.5,4.418848508287325e-09,1.9526423331491772e-08,-0.2602268461538496,-0.1844657692307761,,-0.0001844657692307,-184.4657692307761,8.802386806630049e-10,1.8457116020169264e-12,8.78392969060988e-10,3.552126656529842e-09,3.613165843830413e-09,8.056826644569116e-10,-7.564227874806352e-11,8.813249432049753e-10,3.5546110480663e-09,8.642374602210246e-10,-479.3247184379898,-0.4793247184379898
5223.6,4.397124118784477e-09,1.955712498895037e-08,-0.257712473684193,-0.1796648684210241,,-0.000179664868421,-179.6648684210241,8.585142911601565e-10,1.844535748961604e-12,8.56669755411195e-10,3.552132324196107e-09,3.613161127945818e-09,7.839629908386581e-10,-7.563951778438497e-11,8.59602508623043e-10,3.5546110480663e-09,8.425130707181769e-10,-466.8498270883422,-0.4668498270883421
5223.700000000002,4.383452848066233e-09,1.956564839778969e-08,-0.2557375584415472,-0.1751454935064548,,-0.0001751454935064,-175.14549350645484,8.448430204419116e-10,1.843361431159367e-12,8.429996590107521e-10,3.552137959072905e-09,3.6131564123765907e-09,7.702964356896414e-10,-7.563675724977519e-11,8.459331929394164e-10,3.55443717513811e-09,8.29015672928121e-10,-455.10646615219184,-0.4551064661521918
5223.8,4.370996237569078e-09,1.9490234033149044e-08,-0.2547037499999926,-0.1706131052631483,,-0.0001706131052631,-170.6131052631483,8.323864099447578e-10,1.842188638246917e-12,8.305442213065107e-10,3.552143561075519e-09,3.613151697122916e-09,7.578445404461623e-10,-7.563399714707486e-11,8.334785375932374e-10,3.55443717513811e-09,8.165590624309672e-10,-443.3292907573538,-0.4433292907573538
5223.9000000000015,4.361255906077308e-09,1.9444189154696125e-08,-0.2517493835616397,-0.1660641506849135,,-0.0001660641506849,-166.06415068491347,8.226460784529881e-10,1.8410173598610364e-12,8.208050610931267e-10,3.552149130119231e-09,3.613146982184983e-09,7.481089238923254e-10,-7.563123747912463e-11,8.2374016137145e-10,3.55443717513811e-09,8.06818730939197e-10,-431.5090686018178,-0.4315090686018178
5224.0,4.348237639010983e-09,1.9442382524861884e-08,-0.2505711081081088,-0.1620627297297316,,-0.0001620627297297,-162.0627297297316,8.09627811386663e-10,1.839847585638593e-12,8.077879638010241e-10,3.552154666119324e-09,3.613142267562974e-09,7.350953714480094e-10,-7.562847824876503e-11,8.107238496967744e-10,3.55443717513811e-09,7.938004638728721e-10,-421.111584121676,-0.4211115841216759
5224.1,4.331928298351565e-09,1.9419244983425367e-08,-0.2475915974025795,-0.1576900129869806,,-0.0001576900129869,-157.69001298698066,7.933184707272441e-10,1.838679305216537e-12,7.914797914220275e-10,3.552160168991082e-09,3.6131375532570814e-09,7.187907450944821e-10,-7.562571945883655e-11,7.944164645533191e-10,3.55443717513811e-09,7.774911232134536e-10,-409.7493068261738,-0.4097493068261738
5224.200000000002,4.310283333148994e-09,1.9381222883977627e-08,-0.2450175540540275,-0.1538285270270009,,-0.000153828527027,-153.82852702700097,7.71673505524674e-10,1.8375125082318964e-12,7.698359930164421e-10,3.55216563864979e-09,3.6131328392674924e-09,6.971504938815027e-10,-7.562296111217963e-11,7.727734549936821e-10,3.55443717513811e-09,7.558461580108834e-10,-399.71543616150905,-0.399715436161509
5224.3,4.286115929834275e-09,1.9429540668508586e-08,-0.243377,-0.1503839054053998,,-0.0001503839054053,-150.38390540539984,7.475061022099543e-10,1.836347184321785e-12,7.456697550256326e-10,3.552171075010729e-09,3.6131281255943886e-09,6.72987804239885e-10,-7.562020321163465e-11,7.486080074515201e-10,3.5546110480663e-09,7.315048817679743e-10,-390.7647658242186,-0.3907647658242186
5224.4000000000015,4.263943385635263e-09,1.950235282320515e-08,-0.2440233506493075,-0.1464658831168543,,-0.0001464658831168,-146.46588311685434,7.253335580109424e-10,1.8351833231233887e-12,7.234983746878193e-10,3.5521764779891836e-09,3.613123412237963e-09,6.508199733973001e-10,-7.561744576004194e-11,7.264374191573417e-10,3.5546110480663e-09,7.093323375689628e-10,-380.5839884468106,-0.3805839884468106
5224.5,4.243087535911598e-09,1.9486611226519297e-08,-0.2395823521126745,-0.1430356338028146,,-0.0001430356338028,-143.03563380281457,7.044777082872775e-10,1.834020914273968e-12,7.026436873730037e-10,3.552181847500433e-09,3.6131186991983987e-09,6.299688367131986e-10,-7.561468876024174e-11,7.055835254734405e-10,3.5546110480663e-09,6.884764878452979e-10,-371.6706638040839,-0.3716706638040839
5224.6,4.238435602209936e-09,1.946792419889496e-08,-0.2385944444444435,-0.1396533333333185,,-0.0001396533333333,-139.65333333331853,6.998257745856152e-10,1.8328599474108583e-12,6.979929146382047e-10,3.5521871834597633e-09,3.613113986475885e-09,6.2532161573405e-10,-7.561193221507421e-11,7.009335479491243e-10,3.5546110480663e-09,6.838245541436357e-10,-362.8819317429846,-0.3628819317429846
5224.700000000002,4.2328111928176445e-09,1.944864243093905e-08,-0.2359413108108019,-0.1364725945945797,,-0.0001364725945945,-136.4725945945798,6.942013651933251e-10,1.8317004121714657e-12,6.923696647811537e-10,3.552192485782456e-09,3.613109274070608e-09,6.197019187470377e-10,-7.560917612737952e-11,6.95311094874417e-10,3.5546110480663e-09,6.782001447513451e-10,-354.6169473682229,-0.3546169473682229
5224.8,4.2242537342541366e-09,1.9441170745856423e-08,-0.2357882266666763,-0.1333508399999888,,-0.0001333508399999,-133.35083999998886,6.85643906629816e-10,1.8305422981932664e-12,6.83813364331623e-10,3.5521977543837958e-09,3.613104561982753e-09,6.111491722713823e-10,-7.56064204999977e-11,6.867555927713796e-10,3.5547799784530634e-09,6.694737558010733e-10,-346.50523022783136,-0.3465052302278313
5224.9000000000015,4.210310885635264e-09,1.9455728756906155e-08,-0.2334192133332805,-0.1300265999999672,,-0.0001300265999999,-130.02659999996723,6.717010580109441e-10,1.829385595113804e-12,6.698716724158303e-10,3.552202989179068e-09,3.6130998502125124e-09,5.97211035422751e-10,-7.560366533576872e-11,6.728147007585201e-10,3.554834948066295e-09,6.55475937568969e-10,-337.8673652804478,-0.3378673652804478
5225.0,4.189486023756982e-09,1.9433682414364635e-08,-0.2327378648648653,-0.1274516891891826,,-0.0001274516891891,-127.45168918918264,6.508761961326616e-10,1.828230292570693e-12,6.490479658400905e-10,3.552208190083557e-09,3.6130951387600684e-09,5.763908849969127e-10,-7.560091063753259e-11,6.51991795634445e-10,3.554834948066295e-09,6.346510756906866e-10,-331.1765933040049,-0.3311765933040049
5225.1,4.174724582872924e-09,1.938032882320409e-08,-0.2307101999999859,-0.1245036933333254,,-0.0001245036933333,-124.50369333332549,6.36114755248603e-10,1.8270763802016133e-12,6.342876788684016e-10,3.552213357012548e-09,3.613090427625612e-09,5.616341552473112e-10,-7.559815640812917e-11,6.372323116554405e-10,3.554834948066295e-09,6.198896348066285e-10,-323.51637921953,-0.3235163792195299
5225.200000000002,4.163539499999929e-09,1.940116241208828e-08,-0.2287656315789458,-0.1216656842105069,,-0.0001216656842105,-121.66568421050695,6.249296723756093e-10,1.8259238476443097e-12,6.231037485279648e-10,3.552218489881325e-09,3.6130857168093277e-09,5.50453783190601e-10,-7.559540265039826e-11,6.260491858409993e-10,3.554834948066295e-09,6.08704551933634e-10,-316.1419599470979,-0.3161419599470979
5225.3,4.149155339779019e-09,1.944957449999991e-08,-0.2257476000000108,-0.11904919999999,,-0.0001190491999999,-119.04919999999008,6.10545512154699e-10,1.8247726845365928e-12,6.087207394701621e-10,3.552223588605173e-09,3.613081006311404e-09,5.360743334676152e-10,-7.559264936717965e-11,6.11666982834795e-10,3.554834948066295e-09,5.94320391712724e-10,-309.3431616511688,-0.3093431616511688
5225.4000000000015,4.1341234801104964e-09,1.9434333546961253e-08,-0.2268221558441423,-0.1163190909090702,,-0.000116319090909,-116.31909090907028,5.955136524861762e-10,1.823622880516336e-12,5.936900296056595e-10,3.552228653099381e-09,3.6130762961320254e-09,5.210471839784694e-10,-7.558989656131299e-11,5.966370805397825e-10,3.554834948066295e-09,5.792885320442014e-10,-302.2491150062708,-0.3022491150062708
5225.5,4.125621270165772e-09,1.9424178580110488e-08,-0.2225905316455513,-0.1137581265822705,,-0.0001137581265822,-113.7581265822705,5.870114425414515e-10,1.8224744252214693e-12,5.851889681162296e-10,3.552233683279231e-09,3.6130715862713854e-09,5.125496838943855e-10,-7.558714423563786e-11,5.881368281300235e-10,3.554834948066295e-09,5.707863220994764e-10,-295.5945822439493,-0.2955945822439493
5225.6,4.113207775690557e-09,1.9518305651933772e-08,-0.2195154025974144,-0.1114274935064812,,-0.0001114274935064,-111.42749350648124,5.745979480662361e-10,1.821327308289989e-12,5.727766207579462e-10,3.552238679060009e-09,3.6130668767296645e-09,5.001408989608903e-10,-7.558439239299387e-11,5.757252913538843e-10,3.554834948066295e-09,5.583728276242617e-10,-289.53855327178064,-0.2895385532717806
5225.700000000002,4.085050869613183e-09,1.957304250276229e-08,-0.2189632469135426,-0.1091608148147963,,-0.0001091608148147,-109.16081481479632,5.464410419888625e-10,1.8201815193599466e-12,5.446208604695029e-10,3.5522436403570027e-09,3.613062167507057e-09,4.719887021061265e-10,-7.55816410362206e-11,5.47570343142347e-10,3.554834948066295e-09,5.30215921546888e-10,-283.64870644430755,-0.2836487064443075
5225.8,4.067186344751387e-09,1.95308712320442e-08,-0.216271319999999,-0.1067930399999952,,-0.0001067930399999,-106.79303999999529,5.285765171270662e-10,1.81903704806945e-12,5.267574800789971e-10,3.5522485670854958e-09,3.613057458603744e-09,4.5412888614764316e-10,-7.557889016815754e-11,5.297077763158007e-10,3.554835529281765e-09,5.123508154696222e-10,-277.4961665928124,-0.2774961665928123
5225.9000000000015,4.0654880022099424e-09,1.9473673651933272e-08,-0.2172411666666604,-0.1043501111111095,,-0.0001043501111111,-104.35011111110953,5.268781745856203e-10,1.817893884056664e-12,5.250602807015639e-10,3.552253459160774e-09,3.613052750019914e-09,4.5243525219002625e-10,-7.557613979164407e-11,5.280113919816704e-10,3.554848953591168e-09,5.106390486187725e-10,-271.14834278402606,-0.271148342784026
5226.0,4.061291002762436e-09,1.9400132215469413e-08,-0.2127728400000043,-0.102519920000011,,-0.00010251992,-102.51992000001108,5.226811751381157e-10,1.816752016959804e-12,5.208644231211559e-10,3.552258316498127e-09,3.613048041755759e-09,4.482429610066767e-10,-7.557338990951965e-11,5.238163509161962e-10,3.554998077900609e-09,5.06292924861826e-10,-266.3926862593866,-0.2663926862593866
5226.1,4.0552771906077045e-09,1.943463612707229e-08,-0.2134526533333358,-0.1003381066666639,,-0.0001003381066666,-100.33810666666392,5.166673629833835e-10,1.81561143641714e-12,5.148517515469664e-10,3.55226313901284e-09,3.6130433338114604e-09,4.422338567962424e-10,-7.557064052462359e-11,5.17804497320866e-10,3.554998077900609e-09,5.002791127070941e-10,-260.72335765683954,-0.2607233576568395
5226.200000000002,4.043207397237469e-09,1.952259745303922e-08,-0.2097579999999966,-0.098268363636354,,-9.826836363635408e-05,-98.26836363635412,5.045975696131491e-10,1.814472132066993e-12,5.027830974810821e-10,3.5522679266202044e-09,3.613038626187212e-09,4.3016877105025724e-10,-7.556789163979518e-11,5.057366626900522e-10,3.554998077900609e-09,4.882093193368592e-10,-255.34523791473663,-0.2553452379147367
5226.3,4.029318446961339e-09,1.9532831143646404e-08,-0.2089481315789463,-0.0963444999999981,,-9.634449999999816e-05,-96.34449999999816,4.907086193370192e-10,1.813334093547736e-12,4.888952852434711e-10,3.552272679235511e-09,3.613033918883196e-09,4.1628452807814325e-10,-7.556514325787362e-11,4.918496713360167e-10,3.554998077900609e-09,4.743203690607298e-10,-250.3461781994583,-0.2503461781994583
5226.4000000000015,4.020719891712667e-09,1.9528019524861485e-08,-0.2080603684210504,-0.0945417105263101,,-9.45417105263101e-05,-94.5417105263101,4.821100640883469e-10,1.8121973104977925e-12,4.802978667778487e-10,3.552277396774048e-09,3.613029211899601e-09,4.0769067981306576e-10,-7.556239538169813e-11,4.83253075194764e-10,3.554998077900609e-09,4.65721813812057e-10,-245.66172340612783,-0.2456617234061278
5226.5,4.011199047252736e-09,1.9478826154696138e-08,-0.2060333287671375,-0.0924920136986401,,-9.249201369864008e-05,-92.4920136986401,4.725892196284151e-10,1.8110617725556344e-12,4.707781578558594e-10,3.552282079151108e-09,3.6130245052366155e-09,3.981745420161188e-10,-7.555964801410785e-11,4.737341900302267e-10,3.554998077900609e-09,4.5620096935212574e-10,-240.3356926801938,-0.2403356926801938
