t,ion_current_M2,ion_current_M32,E,current1_mA,coll_current,current1,current1_muA,ion_current_M2_sBG_sub,ion_current_M2_sBG_ALS,ion_current_M2_sBG_ALS_sub,ion_current_M2_ALS,ion_current_M2_UVS,ion_current_M2_UVS_sub,ion_current_M2_UVS_ALS,ion_current_M2_UVS_ALS_sub,ion_current_M2_MF,ion_current_M2_MF_sub,j,current1_mA_geo
5288.5,3.541674701104919e-09,1.9611945038674032e-08,0.9102409154929708,0.0026081126760593,,2.608112676059384e-06,2.608112676059384,3.064873480598762e-12,9.728005800991676e-13,2.092072900499595e-12,3.550170437297641e-09,3.610175730289319e-09,-6.850102918439968e-11,-7.405803585577764e-11,5.557006671377973e-12,3.546402119889482e-09,-4.727418784563066e-12,6.777045298538485,0.0067770452985384
5288.6,3.534816688397942e-09,1.9549171558010992e-08,0.9074556329113884,0.0021609367088608,,2.1609367088608613e-06,2.160936708860861,-3.793139226377649e-12,9.707856373439782e-13,-4.7639248637216255e-12,3.550166547060751e-09,3.6101712599130654e-09,-7.535457151512237e-11,-7.405606839032538e-11,-1.298503124797004e-12,3.546392314364639e-09,-1.1575625966696956e-11,5.615081778350008,0.00561508177835
5288.700000000002,3.5494376828730205e-09,1.9500588646408864e-08,0.9061864999999988,0.0022160714285715,,2.2160714285715075e-06,2.2160714285715075,1.0827855248700238e-11,9.687676431608854e-13,9.859087605539351e-12,3.5501626757225713e-09,3.610166789978753e-09,-6.07291071057327e-11,-7.405410266340663e-11,1.332499555767393e-11,3.5463896961325982e-09,3.0479867404214306e-12,5.758346483295894,0.0057583464832958
5288.8,3.557522966850856e-09,1.9509124558011048e-08,0.9002865555555571,0.002072,,2.072e-06,2.072,1.8913139226536308e-11,9.667465958890044e-13,1.7946392630647302e-11,3.550158823325334e-09,3.6101623204865835e-09,-5.263935363572694e-11,-7.405213867576498e-11,2.1412785040038067e-11,3.5463874933701604e-09,1.11354734806961e-11,5.383984360594403,0.0053839843605944
5288.9000000000015,3.550285397790041e-09,1.9497082154695965e-08,0.8997351999999942,0.0019758666666643,,1.9758666666643347e-06,1.9758666666643352,1.1675570165720279e-11,9.647224938674511e-13,1.0710847671852828e-11,3.5501549899111996e-09,3.610157851436761e-09,-5.987245364672011e-11,-7.405017642814413e-11,1.4177722781424018e-11,3.5463874933701604e-09,3.897904419880071e-12,5.134186888002208,0.0051341868880022
5289.0,3.54738425911602e-09,1.945271751381236e-08,0.8977153246753181,0.0019065194805196,,1.906519480519632e-06,1.906519480519632,8.774431491700136e-12,9.626953354353437e-13,7.811736156264794e-12,3.550151175523058e-09,3.610153382829488e-09,-6.276912371346769e-11,-7.404821592128762e-11,1.1279092207819918e-11,3.5463769563536204e-09,1.0073027624e-12,4.953991827358236,0.0049539918273582
5289.1,3.549014645856361e-09,1.946515885082869e-08,0.8962437199999842,0.0015813200000004,,1.581320000000454e-06,1.581320000000454,1.040481823204108e-11,9.60665118931802e-13,9.444153113109278e-12,3.550147380203822e-09,3.610148914664966e-09,-6.113426880860469e-11,-7.404625715593912e-11,1.2911988347334412e-11,3.5463769563536204e-09,2.637689502740944e-12,4.108977871186093,0.004108977871186
5289.200000000002,3.5516005093922874e-09,1.95189047071826e-08,0.8941949859155299,0.0017219718309872,,1.7219718309872155e-06,1.7219718309872163,1.2990681767967144e-11,9.586318426959465e-13,1.2032049925271198e-11,3.550143603996119e-09,3.6101444469434e-09,-5.854393755111264e-11,-7.404430013284227e-11,1.5500362581729652e-11,3.546357409392273e-09,5.243100000014093e-12,4.474454347210078,0.00447445434721
5289.3,3.554638078453035e-09,1.947669975690593e-08,0.8935023999999787,0.0014631999999971,,1.4631999999971188e-06,1.4631999999971186,1.602825082871571e-11,9.565955050668977e-13,1.5071655323648814e-11,3.550139846942465e-09,3.6101399796649902e-09,-5.550190121195426e-11,-7.404234485274076e-11,1.854044364078649e-11,3.546357409392273e-09,8.28066906076266e-12,3.802049187454738,0.0038020491874547
5289.4000000000015,3.5499408906593443e-09,1.9405672132596122e-08,0.8910827397260205,0.0015163287671229,,1.5163287671229465e-06,1.5163287671229464,1.1331063035025723e-11,9.545561043837785e-13,1.0376506930641943e-11,3.5501361090855234e-09,3.610135512829939e-09,-6.019462217059418e-11,-7.404039131637827e-11,1.3845769145784083e-11,3.546357409392273e-09,3.583481267072672e-12,3.940101528817247,0.0039401015288172
