t,ion_current_M2,ion_current_M32,E,current1_mA,coll_current,current1,current1_muA,ion_current_M2_sBG_sub,ion_current_M2_sBG_ALS,ion_current_M2_sBG_ALS_sub,ion_current_M2_ALS,ion_current_M2_UVS,ion_current_M2_UVS_sub,ion_current_M2_UVS_ALS,ion_current_M2_UVS_ALS_sub,ion_current_M2_MF,ion_current_M2_MF_sub,ion_current_M32_sBG_sub,ion_current_M32_sBG_ALS,ion_current_M32_sBG_ALS_sub,ion_current_M32_ALS,ion_current_M32_UVS,ion_current_M32_UVS_sub,ion_current_M32_UVS_ALS,ion_current_M32_UVS_ALS_sub,ion_current_M32_MF,ion_current_M32_MF_sub,j,current1_mA_geo
96.9,1.3735299392265192e-10,1.3858835164835165e-07,0.8341997368421052,0.002019543859649,,2.019543859649081e-06,2.0195438596490813,1.941810930726884e-11,1.4822215178899882e-11,4.595894128368953e-12,1.5898056496645988e-10,3.1678301966629117e-10,-1.794300257436392e-10,-2.0944392292097719e-10,3.001389717733791e-11,1.4710481602209966e-10,-9.751822099447736e-12,5.763379546050645e-08,5.3193264460595384e-08,4.440530999911066e-09,1.5898056496645988e-10,1.3623967877384e-07,2.348672874511667e-09,-2.171524753499948e-09,4.520197628011615e-09,1.3824640220994477e-07,3.4194943840688036e-10,5.247679804963857,0.0052476798049638
97.0,1.3750122596685078e-10,1.3863088950276248e-07,0.8314176071428568,0.002648,,2.6480000000000003e-06,2.648,1.9566341351467715e-11,1.482531938237958e-11,4.7410219690881336e-12,1.5896679268007802e-10,3.1665916973549286e-10,-1.7915794376864206e-10,-2.0931739752620267e-10,3.0159453757560656e-11,1.4710481602209966e-10,-9.603590055248856e-12,5.7676333314917264e-08,5.3174178590424753e-08,4.502154724492511e-09,1.5896679268007802e-10,1.3621733196938177e-07,2.4135575333807157e-09,-2.17061996888056e-09,4.5841775022612754e-09,1.3824368729281768e-07,3.872022099447991e-10,6.88069043767084,0.0068806904376708
97.1,1.3773587527472523e-10,1.383334861878453e-07,0.8268059999999993,0.002475,,2.475e-06,2.475,1.9800990659342143e-11,1.4828407881205898e-11,4.972582778136239e-12,1.5895299115997219e-10,3.1653539114998047e-10,-1.7879951587525535e-10,-2.091909026343904e-10,3.039138675913502e-11,1.4710481602209966e-10,-9.368940747374432e-12,5.7378930000000084e-08,5.315509405797195e-08,4.223835942028125e-09,1.5895299115997219e-10,1.36194993393502e-07,2.138492794343289e-09,-2.1697153962553182e-09,4.308208190598609e-09,1.3823944696132596e-07,9.4039226519331e-11,6.431158924937813,0.0064311589249378
97.2,1.3822977637362634e-10,1.3818912044198894e-07,0.8201913225806443,0.0027198387096774,,2.7198387096774683e-06,2.719838709677468,2.029489175824325e-11,1.4831480668514233e-11,5.4634110897290165e-12,1.5893916067102688e-10,3.16411683880696e-10,-1.7818190750706967e-10,-2.0906443827712902e-10,3.0882530770059346e-11,1.4710481602209966e-10,-8.875039648473317e-12,5.723456425414376e-08,5.3136010869124e-08,4.098553385019756e-09,1.5893916067102688e-10,1.3617266304382234e-07,2.01645739816663e-09,-2.1688110358720107e-09,4.185268434038641e-09,1.3822577142857146e-07,-3.665098658246229e-11,7.0673595927812505,0.0070673595927812
97.3,1.388274569060774e-10,1.383418276243094e-07,0.8165308392857134,0.0024816607142856,,2.481660714285613e-06,2.4816607142856126,2.0892572290694302e-11,1.483453773743998e-11,6.0580345532543216e-12,1.5892530147600512e-10,3.1628804789858943e-10,-1.7746059099251204e-10,-2.0893800448600758e-10,3.147741349349559e-11,1.4710481602209966e-10,-8.277359116022269e-12,5.738727143646419e-08,5.311692902976793e-08,4.270342406696266e-09,1.5892530147600512e-10,1.3615034091796526e-07,2.191486706344175e-09,-2.167906887978422e-09,4.359393594322597e-09,1.3822094395604398e-07,1.2088366826543008e-10,6.448466444988067,0.006448466444988
97.4,1.3956270552486188e-10,1.3833823516483516e-07,0.8104318421052632,0.0002822631578947,,2.822631578947368e-07,0.2822631578947368,2.1627820909478808e-11,1.4837579081118545e-11,6.790241828360277e-12,1.5891141383559868e-10,3.1616448317461747e-10,-1.7660177764975554e-10,-2.0881160129261518e-10,3.2209823642859646e-11,1.4710481602209966e-10,-7.542110497237754e-12,5.7383678976989946e-08,5.309784854579078e-08,4.285830431199163e-09,1.5891141383559868e-10,1.3612802701355314e-07,2.210208151281995e-09,-2.167002952822341e-09,4.3772111041043366e-09,1.382184519337017e-07,1.1978323113349088e-10,0.733446152353886,0.0007334461523538
97.5,1.3924789337016578e-10,1.3819603736263736e-07,0.8047557142857144,0.0026356428571428,,2.6356428571428857e-06,2.6356428571428854,2.1313008754782718e-11,1.4840604692685314e-11,6.472404062097408e-12,1.5889749800848988e-10,3.1604098967974456e-10,-1.7679309630957883e-10,-2.0868522872854056e-10,3.189213241896186e-11,1.4710481602209966e-10,-7.85692265193385e-12,5.724148117479216e-08,5.3078769423079634e-08,4.162711751712524e-09,1.5889749800848988e-10,1.3610572132820934e-07,2.090316034427994e-09,-2.166099230651551e-09,4.256415265079545e-09,1.3820237790055249e-07,-6.3405379151248985e-12,6.848581043904268,0.0068485810439042
97.6,1.3828949558011055e-10,1.3824368729281768e-07,0.8017922857142847,0.002475,,2.475e-06,2.475,2.035461096472746e-11,1.4843614565275688e-11,5.510996399451768e-12,1.58883554251426e-10,3.159175673849424e-10,-1.7762807180483176e-10,-2.0855888682537283e-10,3.0930815020541036e-11,1.4710481602209966e-10,-8.815320441989111e-12,5.728913110497247e-08,5.3059691667521543e-08,4.229439437450935e-09,1.58883554251426e-10,1.360834238595574e-07,2.1602634332602794e-09,-2.1651957217138395e-09,4.3254591549741205e-09,1.3819603736263736e-07,4.7649930180320646e-11,6.431158924937813,0.0064311589249378
97.7,1.3825876318681314e-10,1.3836888066298338e-07,0.7964600925925925,0.0016525925925924,,1.6525925925924014e-06,1.6525925925924012,2.0323878571430087e-11,1.484660869202507e-11,5.477269879405013e-12,1.5886958281918922e-10,3.15794216261189e-10,-1.7753545307437584e-10,-2.0843257561470047e-10,3.0897122540324694e-11,1.4710481602209966e-10,-8.84605283528649e-12,5.7414324475138186e-08,5.3040615285003616e-08,4.373709190134584e-09,1.5886958281918922e-10,1.3606113460522113e-07,2.3077460577622757e-09,-2.164292426256992e-09,4.472038484019267e-09,1.381921607734807e-07,1.7671988950270471e-10,4.294176000459289,0.0042941760004592
97.8,1.3844563131868135e-10,1.3846294696132596e-07,0.7916839999999989,0.0014419999999994,,1.4419999999994756e-06,1.4419999999994757,2.0510746703298263e-11,1.4849587066068854e-11,5.661159637229407e-12,1.588555839645026e-10,3.156709362794717e-10,-1.772253049607904e-10,-2.0830629512811274e-10,3.108099016732233e-11,1.4710481602209966e-10,-8.659184703418306e-12,5.750839077348076e-08,5.3021540281412974e-08,4.486850492067787e-09,1.588555839645026e-10,1.3603885356282548e-07,2.424093398500536e-09,-2.1633893445287922e-09,4.5874827430293275e-09,1.3818912044198894e-07,2.7382651933699347e-10,3.746962088790689,0.0037469620887906
