t,ion_current_M2,ion_current_M32,ion_current_M44,chan_current,E,current1_mA,current1,current1_muA,ion_current_M2_sBG_sub,ion_current_M2_sBG_ALS,ion_current_M2_sBG_ALS_sub,ion_current_M2_ALS,ion_current_M2_UVS,ion_current_M2_UVS_sub,ion_current_M2_UVS_ALS,ion_current_M2_UVS_ALS_sub,ion_current_M2_MF,ion_current_M2_MF_sub,ion_current_M32_sBG_sub,ion_current_M32_sBG_ALS,ion_current_M32_sBG_ALS_sub,ion_current_M32_ALS,ion_current_M32_UVS,ion_current_M32_UVS_sub,ion_current_M32_UVS_ALS,ion_current_M32_UVS_ALS_sub,ion_current_M32_MF,ion_current_M32_MF_sub,ion_current_M44_sBG_sub,ion_current_M44_sBG_ALS,ion_current_M44_sBG_ALS_sub,ion_current_M44_ALS,ion_current_M44_UVS,ion_current_M44_UVS_sub,ion_current_M44_UVS_ALS,ion_current_M44_UVS_ALS_sub,ion_current_M44_MF,ion_current_M44_MF_sub,j,current1_mA_geo
144.0,9.470532849264706e-09,1.3984950698529414e-07,6.723118970588235e-10,2.525757547068476,0.8235457059103495,0.0008809719771368,8.809719771369282e-07,0.8809719771369282,-1.1919375000025545e-12,-2.0576863585250853e-11,1.93849260852483e-11,5.480516653429596e-09,9.512361328188445e-09,-4.1828478923737004e-11,-1.3265169859670195e-10,9.082321967296496e-11,9.465709220588233e-09,4.8236286764732064e-12,3.184927573529381e-09,4.2995431204017214e-10,2.754973261489209e-09,5.480516653429596e-09,1.3994441260326405e-07,-9.490561796993456e-11,-7.74879455083612e-10,6.799738371136776e-10,1.398774830882353e-07,-2.797610294118226e-11,-2.1127051470587128e-12,-4.729237721013485e-12,2.6165325739547723e-12,5.480516653429596e-09,6.726821889210238e-10,-3.702918622003001e-13,-3.5118702585300018e-12,3.1415783963297018e-12,6.725412606617645e-10,-2.2936360294134097e-13,2.289159916518896,0.0022891599165188
144.1,9.46862153505535e-09,1.3973542610294117e-07,6.694248014705881e-10,2.525624498296231,0.8205620874785733,0.0003417814978454,3.417814978455343e-07,0.3417814978455342,-3.1032517093579014e-12,-2.0543891258744653e-11,1.7440639549386748e-11,5.471742086809714e-09,9.512577062434929e-09,-4.3955527379578325e-11,-1.324758876744615e-10,8.852036029488315e-11,9.46572780811808e-09,2.893726937269946e-12,3.070846691176435e-09,4.2902814377935115e-10,2.641818547397084e-09,5.471742086809714e-09,1.3994328121571524e-07,-2.0785511277407344e-10,-7.73798647498677e-10,5.659435347246037e-10,1.398769441176471e-07,-1.4151801470592208e-10,-4.999800735293897e-12,-4.7216999514633495e-12,-2.7810078383054683e-13,5.471742086809714e-09,6.72685642605741e-10,-3.260841135152741e-12,-3.5063237093119854e-12,2.4548257415924457e-13,6.725412606617645e-10,-3.1164591911765248e-12,0.8881014667668368,0.0008881014667668
144.20000000000002,9.467174671586716e-09,1.39652125e-07,6.665377058823522e-10,2.525555700880256,0.8173781064100777,6.297462824378069e-05,6.297462824382228e-08,0.0629746282438222,-4.5501151779928736e-12,-2.051091646035716e-11,1.596080128236428e-11,5.462963923171032e-09,9.512793049950898e-09,-4.561837836418284e-11,-1.3230007674806608e-10,8.668169838388328e-11,9.465737955882353e-09,1.436715704362794e-12,2.9875455882352557e-09,4.281027834534879e-10,2.5594428047817682e-09,5.462963923171032e-09,1.3994215011916317e-07,-2.900251191631586e-10,-7.727176663128361e-10,4.826925471496775e-10,1.398735867647059e-07,-2.2146176470588816e-10,-7.886896323530012e-12,-4.7141625537755226e-12,-3.1727337697544884e-12,5.462963923171032e-09,6.726890938414292e-10,-6.1513879590773315e-12,-3.500777485976295e-12,-2.6506104731010373e-12,6.725360676470585e-10,-5.998361764706617e-12,0.1636362999898578,0.0001636362999898
144.3,9.46572780811808e-09,1.3960962499999998e-07,6.657120992619929e-10,2.525485236218945,0.8140809940248459,-0.000222588882522,-2.22588882522135e-07,-0.2225888825221349,-5.9969786466278466e-12,-2.0477939228234168e-11,1.4480960581606324e-11,5.4541821946436546e-09,9.51300928991664e-09,-4.7281481798559736e-11,-1.3212426581751307e-10,8.484278401895334e-11,9.465806375000001e-09,-7.856688192024667e-14,2.9450455882352473e-09,4.2717823171083237e-10,2.517867356524415e-09,5.4541821946436546e-09,1.3994101931326808e-07,-3.313943132680992e-10,-7.71636511565966e-10,4.4024219829786687e-10,1.398727900735294e-07,-2.6316507352941816e-10,-8.712502943889307e-12,-4.706625535488241e-12,-4.005877408401066e-12,5.4541821946436546e-09,6.726925426187166e-10,-6.980443356724058e-12,-3.495231593012156e-12,-3.4852117637119025e-12,6.72534925735294e-10,-6.8228264733011636e-12,-0.5783856478481464,-0.0005783856478481
144.4,9.473150242647061e-09,1.3956712499999997e-07,6.667894055350552e-10,2.52528847188888,0.8094024434974886,-0.0010199916066936,-1.0199916066936317e-06,-1.0199916066936316,1.4254558823512673e-12,-2.0444959600521524e-11,2.1870415482872788e-11,5.445396933357688e-09,9.513225781509466e-09,-4.007553886240592e-11,-1.3194845488279943e-10,9.187291602039354e-11,9.465812e-09,7.33824264705997e-12,2.902545588235238e-09,4.2625448919963487e-10,2.476291099035604e-09,5.445396933357688e-09,1.399398887976224e-07,-3.7276379762237876e-10,-7.705551832979452e-10,3.977913856755668e-10,1.3986849411764706e-07,-3.0136911764709165e-10,-7.635196670826653e-12,-4.699088904457004e-12,-2.9361077663696495e-12,5.445396933357688e-09,6.726959889282012e-10,-5.90658339314564e-12,-3.489686035173852e-12,-2.416897357971788e-12,6.72523001102941e-10,-5.733595567885679e-12,-2.650395201918953,-0.0026503952019189
144.5,9.486008698529413e-09,1.3954689080882353e-07,6.678667118081181e-10,2.525032861731786,0.8040163738911541,-0.002055871613625,-2.055871613625144e-06,-2.055871613625144,1.4283911764704144e-11,-2.0411977615365004e-11,3.469588938006915e-11,5.4366081714432406e-09,9.513442523903693e-09,-2.7433825374278296e-11,-1.3177264394392248e-10,1.0433881856964424e-10,9.465846044117646e-09,2.016265441176705e-11,2.8823113970587933e-09,4.2533155656814576e-10,2.4569798404906468e-09,5.4366081714432406e-09,1.399387585717502e-07,-3.9186776292666687e-10,-7.694736815486523e-10,3.776059186219857e-10,1.3986841029411768e-07,-3.215194852941037e-10,-6.5578903977638964e-12,-4.6915526689378995e-12,-1.866337728825996e-12,5.4366081714432406e-09,6.726994327604497e-10,-4.832720952331376e-12,-3.4841408175641893e-12,-1.3485801347671869e-12,6.725157411764703e-10,-4.64902936835196e-12,-5.342075586461271,-0.0053420755864612
144.6,9.498867154411766e-09,1.395357511029412e-07,6.710232841911769e-10,2.5249596490288413,0.7998207316746736,-0.0023525717764667,-2.352571776466857e-06,-2.352571776466857,2.714236764705702e-11,-2.037899331091041e-11,4.752136095796744e-11,5.427815941030417e-09,9.513659516270662e-09,-1.4792361858894324e-11,-1.3159683300087952e-10,1.168044711419852e-10,9.465857926470591e-09,3.300922794117574e-11,2.871171691176461e-09,4.2440943446461635e-10,2.4467622567118446e-09,5.427815941030417e-09,1.3993762863510757e-07,-4.018775321663523e-10,-7.683920063579656e-10,3.665144741916132e-10,1.398683823529412e-07,-3.3263124999999287e-10,-3.401318014705314e-12,-4.684016837480625e-12,1.2826988227753114e-12,5.427815941030417e-09,6.72702874106001e-10,-1.6795899148241494e-12,-3.4785959455276625e-12,1.799006030703513e-12,6.725117808823528e-10,-1.488496691176013e-12,-6.113035546174396,-0.0061130355461743
144.70000000000002,9.491133477941173e-09,1.3952461139705886e-07,6.746675856617657e-10,2.524911161860442,0.7957033818869271,-0.0025490697908998,-2.5490697908999054e-06,-2.5490697908999054,1.9408691176464028e-11,-2.0346006725303544e-11,3.9754697901767575e-11,5.41902027424933e-09,9.513876757778723e-09,-2.2743279837552478e-11,-1.3142102205366759e-10,1.0867774221611511e-10,9.465872088235295e-09,2.526138970587708e-11,2.860031985294102e-09,4.234881235372975e-10,2.436543861756804e-09,5.41902027424933e-09,1.399364989870819e-07,-4.118875900230384e-10,-7.67310157765763e-10,3.554225677427247e-10,1.3986534705882353e-07,-3.4073566176469405e-10,2.429834558834956e-13,-4.6764814188215036e-12,4.919464874705e-12,5.41902027424933e-09,6.72706312955363e-10,1.9612727064024427e-12,-3.4730514245436217e-12,5.4343241309460644e-12,6.725157411764703e-10,2.151844485295432e-12,-6.623625428701128,-0.0066236254287011
144.8,9.481111786764705e-09,1.394863194852941e-07,6.779246290441172e-10,2.524854800201943,0.7912562416382624,-0.0027774797878297,-2.777479787829842e-06,-2.777479787829842,9.386999999994603e-12,-2.031301789669016e-11,2.9700017896684756e-11,5.41022120323009e-09,9.514094247593253e-09,-3.298246082854652e-11,-1.3124521110228398e-10,9.826275027373746e-11,9.465876382352941e-09,1.5235404411762237e-11,2.8217400735293753e-09,4.2256762443444063e-10,2.399172449094934e-09,5.41022120323009e-09,1.3993536962699208e-07,-4.490501416979206e-10,-7.662281358119233e-10,3.1717799411400255e-10,1.398589470588235e-07,-3.72627573529393e-10,3.5000268382353544e-12,-4.668946421696857e-12,8.168973259932212e-12,5.41022120323009e-09,6.72709749299015e-10,5.214879745102588e-12,-3.4675072600914173e-12,8.682387005194005e-12,6.72523001102941e-10,5.401627941176329e-12,-7.217136939933846,-0.0072171369399338
144.9,9.47369036764706e-09,1.3944775330882352e-07,6.77266062867647e-10,2.5247986126004447,0.7870342827612308,-0.0030051844052476,-3.0051844052476446e-06,-3.0051844052476446,1.965580882351804e-12,-2.0280026863216063e-11,2.224560774556787e-11,5.401418760102811e-09,9.514311984876601e-09,-4.062161722954051e-11,-1.3106940014672582e-10,9.044778291718532e-11,9.46590620955882e-09,7.784158088238853e-12,2.78317389705879e-09,4.2164793780429726e-10,2.3615259592544936e-09,5.401418760102811e-09,1.399342405540881e-07,-4.864872452645457e-10,-7.65145940536325e-10,2.7865869527177926e-10,1.3985529448529412e-07,-4.0754117647059476e-10,2.8414606617648104e-12,-4.661411854843005e-12,7.502872516607816e-12,5.401418760102811e-09,6.727131831274043e-10,4.552879740242393e-12,-3.461963457650399e-12,8.014843197892792e-12,6.72534925735294e-10,4.731137132352953e-12,-7.808815559148413,-0.0078088155591484
