t,ion_current_M2,ion_current_M32,ion_current_M44,E,current1_muA,j,current1_mA_geo
106.4,8.774437675276753e-09,4.0882600367647055e-08,5.701287477941174e-10,0.5822425783777561,-4.687460600309342,-12.180122858575269,-0.0121801228585752
106.5,8.769269040590405e-09,4.0880552573529413e-08,5.705692697416971e-10,0.5774644289413627,-4.81381811798512,-12.508456304043372,-0.0125084563040433
106.6,8.78098375e-09,4.087850477941177e-08,5.711821848708487e-10,0.5725749085200479,-4.95660096172079,-12.879470105990306,-0.0128794701059903
106.7,8.796658749999999e-09,4.089061213235294e-08,5.717951e-10,0.5680651153022209,-5.2246178622675385,-13.575898098711676,-0.0135758980987116
106.8,8.809569459558823e-09,4.090429227941177e-08,5.701565705882353e-10,0.5636423021240721,-5.093067288139248,-13.234070765828504,-0.0132340707658285
106.9,8.794530121323531e-09,4.0910953750000006e-08,5.685180411764704e-10,0.559646826886391,-5.238147121313424,-13.611053175503894,-0.0136110531755038
107.0,8.779490783088236e-09,4.0885641250000015e-08,5.67108380882353e-10,0.5550445833155869,-5.558690121893911,-14.443967510457249,-0.0144439675104572
107.1,8.767030562499998e-09,4.086032875000001e-08,5.662872411764707e-10,0.5509640415884625,-5.762678459625706,-14.974020608957067,-0.014974020608957
107.2,8.7589618125e-09,4.08509268382353e-08,5.654661014705883e-10,0.5466585080706383,-6.049977930825507,-15.720553359800103,-0.0157205533598001
107.3,8.7508930625e-09,4.086020257352943e-08,5.664231470588235e-10,0.5424343410800614,-7.6970930245410685,-20.00049636398137,-0.0200004963639813
107.4,8.760360930147057e-09,4.086947830882354e-08,5.68777338235294e-10,0.5353016319635278,-8.542704035487423,-22.19777264683928,-0.0221977726468392
107.5,8.779271591911763e-09,4.0876172205882346e-08,5.711315294117643e-10,0.53071077372014,-9.35264833348661,-24.302370828972595,-0.0243023708289725
107.6,8.798182253676472e-09,4.088195897058824e-08,5.715817617647059e-10,0.5263664709595359,-10.15595745905129,-26.38972786022887,-0.0263897278602288
107.7,8.795593503676471e-09,4.088751566176472e-08,5.716693352941176e-10,0.5219278292713306,-11.025833860468431,-28.65005649964973,-0.0286500564996497
107.8,8.791386518382354e-09,4.088179875e-08,5.71711644117647e-10,0.5175427776410714,-11.844221867368775,-30.77659522071608,-0.030776595220716
107.9,8.788262422794118e-09,4.0876081838235297e-08,5.714220117647056e-10,0.5131036205408483,-12.75893329384556,-33.1534253435964,-0.0331534253435963
108.0,8.789212055147061e-09,4.087479771217712e-08,5.711323794117647e-10,0.5085841388668549,-13.598305809151832,-35.33449121962041,-0.0353344912196204
108.1,8.7901616875e-09,4.0883856752767535e-08,5.692460852941172e-10,0.5043399552118321,-14.45782150106966,-37.56789809364119,-0.0375678980936411
108.2,8.788391279411764e-09,4.0892915793357935e-08,5.649647985294119e-10,0.4997572282309865,-15.164773399478946,-39.40487587584588,-0.0394048758758458
108.3,8.783789808823531e-09,4.087984753676471e-08,5.606835117647057e-10,0.4954058690634161,-15.839204346125006,-41.15734965434167,-0.0411573496543416
108.4,8.779188338235293e-09,4.085140268382353e-08,5.60465375e-10,0.4908760332116074,-16.38852483563488,-42.58473040939728,-0.0425847304093972
108.5,8.783383834558823e-09,4.082295783088236e-08,5.621593088235291e-10,0.4862303485843006,-16.841838606276248,-43.76264269297605,-0.043762642692976
108.6,8.790206996323529e-09,4.0850682352941176e-08,5.638532426470591e-10,0.481560064260154,-17.154013661965074,-44.573813357839136,-0.0445738133578391
108.7,8.796209367647059e-09,4.08868e-08,5.683013529411762e-10,0.476690969745341,-17.316217814691605,-44.995292422271135,-0.0449952924222711
108.8,8.786616720588234e-09,4.091137261029412e-08,5.728642205882354e-10,0.4719141532274624,-17.095596211592095,-44.42201864780346,-0.0444220186478034
108.9,8.777024073529409e-09,4.087052334558824e-08,5.751794e-10,0.4669959865078533,-16.820364429924687,-43.70684316129967,-0.0437068431612996
