t,ion_current_M2,ion_current_M32,E,current1_mA,coll_current,current1,current1_muA,ion_current_M2_sBG_sub,ion_current_M2_sBG_ALS,ion_current_M2_sBG_ALS_sub,ion_current_M2_ALS,ion_current_M2_UVS,ion_current_M2_UVS_sub,ion_current_M2_UVS_ALS,ion_current_M2_UVS_ALS_sub,ion_current_M2_MF,ion_current_M2_MF_sub,ion_current_M32_sBG_sub,ion_current_M32_sBG_ALS,ion_current_M32_sBG_ALS_sub,ion_current_M32_ALS,ion_current_M32_UVS,ion_current_M32_UVS_sub,ion_current_M32_UVS_ALS,ion_current_M32_UVS_ALS_sub,ion_current_M32_MF,ion_current_M32_MF_sub,j,current1_mA_geo
117.9,5.78487094505495e-10,1.3029676813186818e-07,-0.0684481754385958,-0.2935494210526315,,-0.0002935494210526,-293.5494210526315,4.605522098901119e-10,1.5125859558357112e-11,4.454263503317548e-10,1.5568566357068862e-10,2.9229656782318766e-10,2.861905266823073e-10,-1.8359104167863002e-10,4.69781568360937e-10,1.3849218681318672e-10,4.3999490769230837e-10,4.9342211944022935e-08,4.922354678505852e-08,1.1866515896441194e-10,1.5568566357068862e-10,1.3172384355354734e-07,-1.427075421679137e-09,-1.9865487415347274e-09,5.594733198555896e-10,1.3034895303867405e-07,-5.2184906805877095e-11,-762.7729208537207,-0.7627729208537207
118.0,5.652897143646411e-10,1.303965483516484e-07,-0.0645157818181819,-0.2929641272727273,,-0.0002929641272727,-292.9641272727273,4.473548297492583e-10,1.5125669990363522e-11,4.322291597588947e-10,1.556684417552343e-10,2.9218707379367247e-10,2.7310264057096896e-10,-1.8347161514354388e-10,4.5657425571451286e-10,1.3849218681318672e-10,4.267975275514548e-10,4.9441992163803166e-08,4.9204871044163634e-08,2.371211196395322e-10,1.556684417552343e-10,1.3170317325712724e-07,-1.3066249054788152e-09,-1.9856938694826408e-09,6.790689640038254e-10,1.303362767955801e-07,6.027155606828126e-11,-761.2520653723707,-0.7612520653723707
118.1,5.539598801104956e-10,1.303362767955801e-07,-0.060063696428571,-0.2920565357142861,,-0.0002920565357142,-292.0565357142861,4.360249954951127e-10,1.5125465772645092e-11,4.2089952972246756e-10,1.5565120470089608e-10,2.920776451665493e-10,2.6188223494394653e-10,-1.8335222574532207e-10,4.452344606892687e-10,1.3849218681318672e-10,4.154676932973091e-10,4.938172060773489e-08,4.9186197875086574e-08,1.955227326483248e-10,1.5565120470089608e-10,1.3168251069989353e-07,-1.3462339043134332e-09,-1.984839258685564e-09,6.386053543721297e-10,1.3031597182320444e-07,2.0304972375678888e-11,-758.8937358567072,-0.7588937358567072
118.2,5.432555751381214e-10,1.302308624309392e-07,-0.0543270535714281,-0.2915775178571433,,-0.0002915775178571,-291.57751785714333,4.2532069052273824e-10,1.5125246920239487e-11,4.1019544360249864e-10,1.5563395239217958e-10,2.919682819142778e-10,2.512872932238436e-10,-1.832328735155536e-10,4.345201667393972e-10,1.3849218681318672e-10,4.0476338832493456e-10,4.927630624309399e-08,4.916752728379769e-08,1.0877895929629183e-10,1.5563395239217958e-10,1.3166185587956376e-07,-1.430993448624551e-09,-1.983984909304659e-09,5.52991460680108e-10,1.303151187845304e-07,-8.425635359116901e-11,-757.6490328396694,-0.7576490328396694
118.3,5.32440261538461e-10,1.3024822541436464e-07,-0.0494220181818177,-0.2926691636363636,,-0.0002926691636363,-292.66916363636363,4.145053769230778e-10,1.5125013448184422e-11,3.9938036347489344e-10,1.5561668481359042e-10,2.9185898400932475e-10,2.4058127752913616e-10,-1.8311355848582696e-10,4.2369483601496317e-10,1.3849218681318672e-10,3.939480747252743e-10,4.9293669226519415e-08,4.9148859276287024e-08,1.4480995023240508e-10,1.5561668481359042e-10,1.3164120879385597e-07,-1.3929833794913363e-09,-1.983130821501089e-09,5.901474420097526e-10,1.3029676813186818e-07,-4.8542717503513116e-11,-760.485617686499,-0.760485617686499
118.4,5.190168549450564e-10,1.3028647472527472e-07,-0.0424817454545455,-0.2924690181818181,,-0.0002924690181818,-292.46901818181817,4.0108197032967326e-10,1.5124765371517638e-11,3.8595720495815556e-10,1.5559940194963418e-10,2.9174975142416376e-10,2.2726710352089248e-10,-1.8299428068773067e-10,4.102613842086231e-10,1.3849218681318672e-10,3.805246681318697e-10,4.93319185374295e-08,4.913019385855533e-08,2.0172467887418502e-10,1.5559940194963418e-10,1.3162056944048832e-07,-1.334094715213604e-09,-1.982276995436015e-09,6.481822802224104e-10,1.3028647472527472e-07,0.0,-759.965550120323,-0.759965550120323
118.5,5.049734436464122e-10,1.3041444175824174e-07,-0.0383404464285706,-0.290987196428571,,-0.0002909871964285,-290.987196428571,3.87038559031029e-10,1.512450270527694e-11,3.71914056325752e-10,1.5558210378481666e-10,2.916405841312767e-10,2.1333285951513547e-10,-1.8287504015285315e-10,3.9620789966798844e-10,1.3849218681318672e-10,3.6648125683322535e-10,4.9459885570396533e-08,4.911153103661793e-08,3.4835453377860825e-10,1.5558210378481666e-10,1.3159993781718017e-07,-1.1854960589383986e-09,-1.9814234312705988e-09,7.959273723322002e-10,1.302745143646409e-07,1.399273936008315e-10,-756.1151132744392,-0.7561151132744391
118.6,4.890700182320447e-10,1.304369861878453e-07,-0.0322160714285703,-0.290756517857143,,-0.0002907565178571,-290.75651785714297,3.711351336166615e-10,1.5124225464500153e-11,3.5601090815216124e-10,1.5556479030364354e-10,2.91531482103151e-10,1.975385361288936e-10,-1.8275583691278271e-10,3.8029437304167615e-10,1.3849218681318672e-10,3.505778314188579e-10,4.9482430000000083e-08,4.9092870816510274e-08,3.895591834898098e-10,1.5556479030364354e-10,1.3157931392165037e-07,-1.1423277338050692e-09,-1.980570129166001e-09,8.38242395360932e-10,1.302548867403315e-07,1.8209944751380016e-10,-755.5157069902244,-0.7555157069902244
118.7,4.764273574585636e-10,1.302548867403315e-07,-0.0277254181818183,-0.2931361272727272,,-0.0002931361272727,-293.13612727272726,3.5849247284318035e-10,1.5123933664225157e-11,3.433685391789552e-10,1.5554746149062062e-10,2.9142244531228167e-10,1.8500491214628167e-10,-1.826366709991081e-10,3.6764158314538974e-10,1.3849218681318672e-10,3.3793517064537677e-10,4.930033055248628e-08,4.9074213204267843e-08,2.2611734821844647e-10,1.5554746149062062e-10,1.3155869775161874e-07,-1.3038110112872684e-09,-1.9797170892833873e-09,6.759060779961185e-10,1.3024822541436464e-07,6.661325966861292e-12,-761.6989984370532,-0.7616989984370532
118.8,4.679347607734791e-10,1.300883359116022e-07,-0.0233055636363635,-0.2919060909090911,,-0.000291906090909,-291.9060909090911,3.4999987615809597e-10,1.512362731948986e-11,3.348762488386061e-10,1.5553011733025379e-10,2.9131347373117207e-10,1.7662128704230699e-10,-1.8251754244341784e-10,3.5913882948572483e-10,1.3849218681318672e-10,3.294425739602924e-10,4.9133779723757e-08,4.905555820592608e-08,7.822151783092886e-11,1.5553011733025379e-10,1.3153808930480584e-07,-1.449753393203633e-09,-1.978864311783918e-09,5.291109185802847e-10,1.3023617182320444e-07,-1.4783591160220868e-10,-758.5028128459434,-0.7585028128459433
