t,ion_current_M2,ion_current_M32,E,current1_mA,coll_current,current1,current1_muA,ion_current_M2_sBG_sub,ion_current_M2_sBG_ALS,ion_current_M2_sBG_ALS_sub,ion_current_M2_ALS,ion_current_M2_UVS,ion_current_M2_UVS_sub,ion_current_M2_UVS_ALS,ion_current_M2_UVS_ALS_sub,ion_current_M2_MF,ion_current_M2_MF_sub,ion_current_M32_sBG_sub,ion_current_M32_sBG_ALS,ion_current_M32_sBG_ALS_sub,ion_current_M32_ALS,ion_current_M32_UVS,ion_current_M32_UVS_sub,ion_current_M32_UVS_ALS,ion_current_M32_UVS_ALS_sub,ion_current_M32_MF,ion_current_M32_MF_sub,j,current1_mA_geo
1533.2,2.1545962087912206e-10,7.358559922651933e-08,-0.0363509516128987,-0.0171582580645149,,-1.7158258064514983e-05,-17.15825806451499,7.177021701171054e-11,-3.0848510833734128e-12,7.485506809508401e-11,1.4262421526112854e-10,1.64919285944136e-10,5.0540334934986086e-11,-2.4830000466280015e-11,7.537033540126613e-11,1.4316903259668282e-10,7.229058828243921e-11,-1.3259904972382884e-09,-1.428802270294098e-09,1.0281177305580908e-10,1.4262421526112854e-10,7.354918188108768e-08,3.6417345431661134e-11,-1.3937298392360263e-10,1.7579032935526378e-10,7.366655230769231e-08,-8.095308117296805e-11,-44.584842217370415,-0.0445848422173704
1533.3000000000004,2.129027055248516e-10,7.357480364640883e-08,-0.0315606290322505,-0.0159869677419337,,-1.5986967741933734e-05,-15.98696774193374,6.921330165744002e-11,-3.0831164234040263e-12,7.229641808084403e-11,1.4262697393852802e-10,1.6492524568290432e-10,4.797745984194722e-11,-2.483433103687017e-11,7.281179087881737e-11,1.4316903259668282e-10,6.973367292816868e-11,-1.3367860773488107e-09,-1.428652988290978e-09,9.186691094216728e-11,1.4262697393852802e-10,7.35494005992268e-08,2.5403047182019487e-11,-1.3943609040033007e-10,1.6483913758234956e-10,7.366668276243102e-08,-9.187911602220188e-11,-41.54130516211316,-0.0415413051621131
1533.4,2.0964730939226056e-10,7.372094285714299e-08,-0.026853861538463,-0.0146135076923064,,-1.461350769230648e-05,-14.613507692306476,6.595790552484907e-11,-3.081379902770943e-12,6.903928542762001e-11,1.4262973781200094e-10,1.6493120469157248e-10,4.471610470068808e-11,-2.4838659387930407e-11,6.955476408861849e-11,1.4316903259668282e-10,6.647827679557775e-11,-1.1906468666146287e-09,-1.4285038192176727e-09,2.378569526030436e-10,1.4262973781200094e-10,7.354961929972389e-08,1.7132355741909715e-10,-1.3949924239336326e-10,3.1082279981246035e-10,7.36668397790055e-08,5.410307813750372e-11,-37.97244057374714,-0.0379724405737471
1533.5,2.0737824861878247e-10,7.385284281767959e-08,-0.0239880923076825,-0.0135693846153826,,-1.3569384615382616e-05,-13.569384615382614,6.368884475137098e-11,-3.079641524441609e-12,6.676848627581258e-11,1.4263250687577886e-10,1.6493716296941828e-10,4.2441085649364165e-11,-2.484298552082685e-11,6.728407117019102e-11,1.4316903259668282e-10,6.420921602209965e-11,-1.058746906078067e-09,-1.4283547629997e-09,3.69607856921633e-10,1.4263250687577886e-10,7.354983798257697e-08,3.03004835102608e-10,-1.395624398415939e-10,4.4256727494420177e-10,7.366684780219775e-08,1.85995015481811e-10,-35.25934100005323,-0.0352593410000532
1533.6,2.0502328571428078e-10,7.373377099447502e-08,-0.018590032258065,-0.0122999999999995,,-1.2299999999999506e-05,-12.299999999999509,6.133388184686929e-11,-3.077901291383468e-12,6.441178313825276e-11,1.4263528112409311e-10,1.6494312051571968e-10,4.0080165198561104e-11,-2.48473094369256e-11,6.492747463548669e-11,1.4316903259668282e-10,6.185425311759796e-11,-1.177818729282623e-09,-1.42820581956258e-09,2.5038709027995753e-10,1.4263528112409311e-10,7.355005664778398e-08,1.8371434669104027e-10,-1.396256826839137e-10,3.23340029374954e-10,7.366716076923063e-08,6.661022524438897e-11,-31.960911020901797,-0.0319609110209017
1533.7,2.0232471428571542e-10,7.36232893406593e-08,-0.0153119552238793,-0.0111466119402981,,-1.1146611940298184e-05,-11.14661194029818,5.863531041830389e-11,-3.076159206563956e-12,6.171146962486786e-11,1.4263806055117529e-10,1.6494907732975448e-10,3.7375636955960917e-11,-2.485163113759273e-11,6.222726809355364e-11,1.4316903259668282e-10,5.915568168903257e-11,-1.288300383098332e-09,-1.4280569888318323e-09,1.3975660573350036e-10,1.4263806055117529e-10,7.355027529534289e-08,7.301404531642271e-11,-1.396889708592142e-10,2.1270301617563687e-10,7.36682163736264e-08,-4.492703296707615e-11,-28.963892065724057,-0.028963892065724
1533.8000000000004,1.9990117348066201e-10,7.353383879120856e-08,-0.0089816451612696,-0.0103635806451591,,-1.0363580645159108e-05,-10.363580645159104,5.621176961325047e-11,-3.074415272950501e-12,5.928618488620096e-11,1.4264084515125708e-10,1.6495503341080086e-10,3.494614006986108e-11,-2.485595062419433e-11,5.98020906940554e-11,1.4316903259668282e-10,5.6732140883979146e-11,-1.377750932549109e-09,-1.4279082707329751e-09,5.0157338183865286e-11,1.4264084515125708e-10,7.355049392525167e-08,-1.6655134043161062e-11,-1.3975230430638712e-10,1.2309717026322606e-10,7.366837307692299e-08,-1.3453428571446806e-10,-26.92922592340515,-0.0269292259234051
1533.9,1.9792636685082747e-10,7.350206464088404e-08,-0.0048098166666699,-0.0093698166666676,,-9.369816666667608e-06,-9.369816666667608,5.423696298341596e-11,-3.0726694935105296e-12,5.7309632476926487e-11,1.4264363491856986e-10,1.6496098875813675e-10,3.2965378092690704e-11,-2.4860267898096504e-11,5.7825645990787214e-11,1.4316903259668282e-10,5.475733425414463e-11,-1.4095250828735926e-09,-1.4277596651915263e-09,1.823458231793397e-11,1.4264363491856986e-10,7.355071253750839e-08,-4.864789662433671e-11,-1.3981568296432394e-10,9.116778633998728e-11,7.366887285714298e-08,-1.668082162589422e-10,-24.34698185085675,-0.0243469818508567
1534.0,1.9628663204419884e-10,7.353532983425419e-08,9.009523809470552e-05,-0.0082155555555556,,-8.215555555555659e-06,-8.21555555555566,5.259722817678732e-11,-3.070921871211459e-12,5.5668150047998776e-11,1.4264642984734528e-10,1.6496694337104034e-10,3.131968867315848e-11,-2.4864582960665317e-11,5.618427163382379e-11,1.4316903259668282e-10,5.311759944751599e-11,-1.3762598895034556e-09,-1.4276111721279902e-09,5.135128262453464e-11,1.4264642984734528e-10,7.355093113211093e-08,-1.5601297856740528e-11,-1.3987910677191631e-10,1.2427780891517579e-10,7.366897486187845e-08,-1.3364502762427466e-10,-21.34769431694312,-0.0213476943169431
1534.1,1.948996707182304e-10,7.359436784530403e-08,0.0070255714285807,-0.0074459999999983,,-7.4459999999983825e-06,-7.445999999998382,5.121026685081888e-11,-3.0691724090206995e-12,5.4279439259839575e-11,1.426492299318151e-10,1.6497289724878994e-10,2.992677346944047e-11,-2.486889581326685e-11,5.4795669282707316e-11,1.4316903259668282e-10,5.1730638121547546e-11,-1.3172218784536e-09,-1.427462791461046e-09,1.1024091300744583e-10,1.426492299318151e-10,7.355114970905732e-08,4.321813624672439e-11,-1.3994257566805578e-10,1.8316071191478007e-10,7.366887285714298e-08,-7.450501183894976e-11,-19.348044183869312,-0.0193480441838693
