t,ion_current_M2,ion_current_M32,ion_current_M44,chan_current,E,current1_mA,current1,current1_muA,ion_current_M2_sBG_sub,ion_current_M2_sBG_ALS,ion_current_M2_sBG_ALS_sub,ion_current_M2_ALS,ion_current_M2_UVS,ion_current_M2_UVS_sub,ion_current_M2_UVS_ALS,ion_current_M2_UVS_ALS_sub,ion_current_M2_MF,ion_current_M2_MF_sub,ion_current_M32_sBG_sub,ion_current_M32_sBG_ALS,ion_current_M32_sBG_ALS_sub,ion_current_M32_ALS,ion_current_M32_UVS,ion_current_M32_UVS_sub,ion_current_M32_UVS_ALS,ion_current_M32_UVS_ALS_sub,ion_current_M32_MF,ion_current_M32_MF_sub,ion_current_M44_sBG_sub,ion_current_M44_sBG_ALS,ion_current_M44_sBG_ALS_sub,ion_current_M44_ALS,ion_current_M44_UVS,ion_current_M44_UVS_sub,ion_current_M44_UVS_ALS,ion_current_M44_UVS_ALS_sub,ion_current_M44_MF,ion_current_M44_MF_sub,j,current1_mA_geo
168.10000000000002,1.0676453970588217e-08,1.3940065772058828e-07,6.756698205882363e-10,2.305527403356838,-0.2783386268156091,-0.8916187838567459,-0.0008916187838567,-891.6187838567458,1.2047291838235083e-09,-1.2688082816761785e-11,1.21741726664027e-09,3.335846947434284e-09,9.569367306933482e-09,1.1070866636547352e-09,-9.024339420321068e-11,1.1973300578579454e-09,9.4741988302583e-09,1.202255140329917e-09,2.736078308823498e-09,2.3160682918912804e-10,2.50447147963437e-09,3.335846947434284e-09,1.3966884738224604e-07,-2.6818966165778515e-10,-5.0967074499597e-10,2.414810833381849e-10,1.3964341029411764e-07,-2.4275257352940776e-10,1.2452183823540934e-12,-2.9446017754628564e-12,4.18982015781695e-12,3.335846947434284e-09,6.734176358659072e-10,2.2521847223288905e-12,-2.197873234253759e-12,4.4500579565826485e-12,6.72986769852941e-10,2.683050735295297e-12,-2316.8250906838425,-2.3168250906838423
168.20000000000002,1.0613439264705872e-08,1.3938885625e-07,6.772322323529415e-10,2.310711777964346,-0.2743332180356815,-0.8706087032502928,-0.0008706087032502,-870.6087032502928,1.1417144779411639e-09,-1.2656291178521778e-11,1.1543707691196856e-09,3.3271347044589156e-09,9.569613224711944e-09,1.043826039993928e-09,-9.006676263586092e-11,1.1338928026297891e-09,9.474285653136528e-09,1.1391536115693456e-09,2.724276838235253e-09,2.3089412141748158e-10,2.4933827168177717e-09,3.3271347044589156e-09,1.396675940057759e-07,-2.78737755775918e-10,-5.085535489255254e-10,2.2981579314960767e-10,1.396421694852941e-07,-2.5331323529412543e-10,2.807630147059275e-12,-2.937433430206256e-12,5.7450635772655296e-12,3.3271347044589156e-09,6.734201514043763e-10,3.812080948565202e-12,-2.192582260876814e-12,6.004663209442016e-12,6.729918981617648e-10,4.2403341911767184e-12,-2262.2314876915784,-2.2622314876915786
168.3,1.0550309852398522e-08,1.3937705477941174e-07,6.780162764705882e-10,2.315682779647492,-0.2704137202383535,-0.8504633329858747,-0.0008504633329857,-850.4633329858748,1.0785850656338114e-09,-1.2624513952400191e-11,1.0912095795862116e-09,3.318426607850573e-09,9.569859107292157e-09,9.804507451063642e-10,-8.989011838784028e-11,1.070340863494205e-09,9.474303044117648e-09,1.0760068082808734e-09,2.712475367647008e-09,2.3018237781848663e-10,2.482292989828521e-09,3.318426607850573e-09,1.3966633844023845e-07,-2.892836608267077e-10,-5.074362570185872e-10,2.1815259619187947e-10,1.3964190073529414e-07,-2.6484595588237485e-10,3.5916742647063337e-12,-2.930268115853176e-12,6.52194238055951e-12,3.318426607850573e-09,6.734226612338547e-10,4.593615236733876e-12,-2.187293348232967e-12,6.780908584966843e-12,6.729949264705882e-10,5.021350000000378e-12,-2209.884789601805,-2.209884789601805
168.4,1.0486985129151286e-08,1.3937994080882354e-07,6.788003205882355e-10,2.3205074154308702,-0.2661023678875125,-0.8309111218939567,-0.0008309111218939,-830.9111218939568,1.015260342386577e-09,-1.259275122419898e-11,1.0278530936107764e-09,3.309722689739608e-09,9.570104953076942e-09,9.168801760743439e-10,-8.971346135365856e-11,1.0065936374280027e-09,9.47433450367647e-09,1.0126506254748151e-09,2.715361397058785e-09,2.2947159904046799e-10,2.485889798018317e-09,3.309722689739608e-09,1.3966508066347593e-07,-2.851398546524125e-10,-5.063188699376954e-10,2.2117901528528323e-10,1.3963557941176477e-07,-2.5563860294124883e-10,4.37571838235329e-12,-2.923105848729266e-12,7.298824231082555e-12,3.309722689739608e-09,6.734251653360231e-10,5.375155252212396e-12,-2.182006507919505e-12,7.557161760131902e-12,6.730093720588232e-10,5.790948529411972e-12,-2159.0793848074386,-2.1590793848074386
168.5,1.0423660405904052e-08,1.3939938933823534e-07,6.78049326470588e-10,2.325191571001513,-0.2618697352422868,-0.811928217770893,-0.0008119282177708,-811.928217770893,9.519356191393447e-10,-1.256100307971998e-11,9.644966222190648e-10,3.3010229822563683e-09,9.570350760465662e-09,8.533096454383911e-10,-8.95367914278254e-11,9.428464368662171e-10,9.474432999999997e-09,9.492274059040567e-10,2.734809926470582e-09,2.2876178573175048e-10,2.506048140738831e-09,3.3010229822563683e-09,1.3966382065321736e-07,-2.644313149820492e-10,-5.052013883453922e-10,2.407700733633433e-10,1.396277992647059e-07,-2.2840992647057743e-10,3.624724264705909e-12,-2.91594664516018e-12,6.540670909866089e-12,3.3010229822563683e-09,6.734276636925181e-10,4.6216627780700416e-12,-2.176721751533714e-12,6.798384529603757e-12,6.730115566176474e-10,5.037769852940737e-12,-2109.7532945964163,-2.109753294596416
168.60000000000002,1.0387944852941168e-08,1.394188378676471e-07,6.760922308823522e-10,2.3298148331692503,-0.2574848707726722,-0.7931920888908043,-0.0007931920888907,-793.1920888908041,9.162200661764591e-10,-1.2529269604764934e-11,9.287493357812243e-10,3.292327517531205e-09,9.570596527854201e-09,8.17348325086967e-10,-8.936010850485039e-11,9.067084335918175e-10,9.474475088235297e-09,9.13469764705873e-10,2.754258455882379e-09,2.2805293854065983e-10,2.526205517341719e-09,3.292327517531205e-09,1.396625583870783e-07,-2.43720519431178e-10,-5.040838129042184e-10,2.6036329347304073e-10,1.396248708487085e-07,-2.0603298106135834e-10,1.667628676470328e-12,-2.908790521471568e-12,4.576419197941895e-12,3.292327517531205e-09,6.73430156284931e-10,2.6620745974215448e-12,-2.17143909067288e-12,4.833513688094425e-12,6.730160411764702e-10,3.076189705882015e-12,-2061.068437034409,-2.061068437034409
168.70000000000002,1.0366452205882346e-08,1.394589665441177e-07,6.741351352941175e-10,2.334173082624124,-0.2529379256730718,-0.775529944604914,-0.0007755299446048,-775.5299446049139,8.947274191176374e-10,-1.2497550885135498e-11,9.072249700027731e-10,3.2836363276944702e-09,9.570842253634958e-09,7.956099522473881e-10,-8.918341247924308e-11,8.847933647266312e-10,9.474475088235297e-09,8.91977117647051e-10,2.794387132352967e-09,2.2734505811552143e-10,2.567042074237446e-09,3.2836363276944702e-09,1.3966129384256037e-07,-2.0232729844264807e-10,-5.029661442767154e-10,3.006388458340673e-10,1.396248708487085e-07,-1.6590430459077024e-10,-2.894669117647368e-13,-2.9016374939890828e-12,2.612170582224346e-12,3.2836363276944702e-09,6.734326430948085e-10,7.024921993089869e-13,-2.166158536934287e-12,2.8686507362432735e-12,6.730160411764702e-10,1.1190941176469506e-12,-2015.1742726474424,-2.015174272647442
168.8,1.0344959558823525e-08,1.395059886029412e-07,6.74685340221402e-10,2.337819035555545,-0.2482408893939106,-0.7607544372822828,-0.0007607544372822,-760.7544372822828,8.73234772058816e-10,-1.2465847006633233e-11,8.85700619065449e-10,3.274949444876514e-09,9.571087936196864e-09,7.738716226266614e-10,-8.900670324551278e-11,8.628783258721742e-10,9.474475088235297e-09,8.704844705882295e-10,2.841409191176468e-09,2.2663814510466119e-10,2.614771046071807e-09,3.274949444876514e-09,1.3966002699705133e-07,-1.5403839411013148e-10,-5.018483831254237e-10,3.4780998901529216e-10,1.396248708487085e-07,-1.1888224576726942e-10,2.607380155201382e-13,-2.894487579038376e-12,3.155225594558514e-12,3.274949444876514e-09,6.734351241036521e-10,1.2502161177499268e-12,-2.160880101915216e-12,3.4110962196651424e-12,6.730160411764702e-10,1.6692990449318256e-12,-1976.7808844501,-1.9767808844501
168.9,1.0285348529411754e-08,1.395488481617647e-07,6.757131261992623e-10,2.3412980743155165,-0.2435226671164537,-0.7466553625984965,-0.0007466553625984,-746.6553625984966,8.136237426470455e-10,-1.24341580550596e-11,8.260579007021051e-10,3.2662669012076903e-09,9.571333573925364e-09,7.140149554863892e-10,-8.882998069816883e-11,8.028449361845581e-10,9.474475088235297e-09,8.108734411764591e-10,2.884268749999957e-09,2.259322001564052e-10,2.658336549843552e-09,3.2662669012076903e-09,1.3965875782782508e-07,-1.0990966606036751e-10,-5.007305301128845e-10,3.9082086405251696e-10,1.396248708487085e-07,-7.602268694378033e-11,1.2885239933800773e-12,-2.887340792945098e-12,4.175864786325176e-12,3.2662669012076903e-09,6.734375992929201e-10,2.2755269063421908e-12,-2.155603797212948e-12,4.4311307035551386e-12,6.730160411764702e-10,2.6970850227917647e-12,-1940.1451713244448,-1.9401451713244449
169.0,1.0223304411764705e-08,1.3945712022058825e-07,6.768496448529414e-10,2.3446269985371813,-0.2387019055952335,-0.7331646387359385,-0.0007331646387358,-733.1646387359385,7.515796249999962e-10,-1.2402484116215987e-11,7.639821091162121e-10,3.2575887288183523e-09,9.571579165202424e-09,6.51725246562281e-10,-8.865324473172045e-11,7.403784912940013e-10,9.474475088235297e-09,7.488293235294094e-10,2.792540808823492e-09,2.2522722391907982e-10,2.5673135849044127e-09,3.2575887288183523e-09,1.3965748631204088e-07,-2.0036609145260477e-10,-4.996125859016386e-10,2.992464944490338e-10,1.396248708487085e-07,-1.6775062812024496e-10,2.4250426470595323e-12,-2.8801971520349016e-12,5.3052397990944335e-12,3.2575887288183523e-09,6.73440068644023e-10,3.409576208918428e-12,-2.1503296344247626e-12,5.55990584334319e-12,6.73028888235294e-10,3.820756617647378e-12,-1905.0902262042173,-1.9050902262042173
